Game,away,away-record,awayaway-record,home,home-record,homehome-record,away-score,home-score,postseason info,Walks Issued - Away,Walks Issued - Home,Stolen Bases - Away,Stolen Bases - Home,Strikeouts Thrown - Away,Strikeouts Thrown - Home,Total Bases - Away,Total Bases - Home,Stadium,Date,Location,Odds,O/U,Attendance,Capacity,Duration,Umpires,WIN - Pitcher - Stats,WIN - Pitcher - Id,WIN - Pitcher - Name,WIN - Pitcher - AbbrName,WIN - Pitcher - Record,LOSS - Pitcher - Stats,LOSS - Pitcher - Id,LOSS - Pitcher - Name,LOSS - Pitcher - AbbrName,LOSS - Pitcher - Record,SAVE - Pitcher - Stats,SAVE - Pitcher - Id,SAVE - Pitcher - Name,SAVE - Pitcher - AbbrName,SAVE - Pitcher - Record,Extra Innings
360404101,MIN,0-1,0-1 Away,BAL,Jan-00,1-0 Home,2,3,,5,0,0,1,10,10,10,13,Oriole Park at Camden Yards,2016-04-04T19:05Z,"Baltimore, Maryland",,,"45,785","45,971",2:48,"Home Plate Umpire - Mike Winters, First Base Umpire - Mark Wegner, Second Base Umpire - Marty Foster, Third Base Umpire - Mike Muchlinski","1.0 IP, 0 ER, 0 K, 0 BB",31054,Zack Britton,Z. Britton,(1-0),"0.2 IP, 1 ER, 1 K, 1 BB",29265,Kevin Jepsen,K. Jepsen,(0-1),,,,,,
,,,,,,,,,,,,,,,,,,,,21201,,,,,,,,,,,,,,,,,,,,,,
360404113,SEA,0-1,0-1 Away,TEX,Jan-00,1-0 Home,2,3,,6,3,0,1,10,11,10,1,Globe Life Park in Arlington,2016-04-04T20:00Z,"Arlington, Texas",,,"49,289","48,114",2:38,"Home Plate Umpire - Jim Joyce, First Base Umpire - Marvin Hudson, Second Base Umpire - James Hoye, Third Base Umpire - Chad Fairchild","7.0 IP, 2 ER, 8 K, 3 BB",6216,Cole Hamels,C. Hamels,(1-0),"6.0 IP, 1 ER, 6 K, 5 BB",6194,Felix Hernandez,F. Hernandez,(0-1),"1.0 IP, 0 ER, 2 K, 0 BB",31886,Shawn Tolleson,S. Tolleson,-1,
,,,,,,,,,,,,,,,,,,,,76096,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
